mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count)
25195,-5.84,-7.20,-4.20,4.40,13,1,2,2
25295,-6.04,-6.45,-4.20,4.40,13,1,2,2
25395,-4.56,-5.25,-2.85,4.40,13,1,2,2
25495,-2.16,-6.15,-2.70,4.40,13,1,2,2
25595,-4.36,-5.40,-2.70,4.40,13,1,2,2
25695,-4.13,-5.70,-0.60,4.40,13,1,2,2
25795,-6.05,-6.75,-2.85,4.40,13,1,2,2
25895,-5.34,-4.50,-1.80,4.40,13,1,2,2
25995,-3.66,-6.75,-2.10,4.40,13,1,2,2
26095,-4.54,-5.10,-3.00,4.76,12,1,3,2
26195,-5.40,-5.70,-2.55,4.40,13,1,2,2
26295,-6.05,-5.10,-1.50,4.40,13,1,2,2
26395,-4.14,-4.80,-1.95,4.40,13,1,2,2
26495,-7.82,-5.70,-2.85,4.76,12,1,2,2
26595,-4.15,-3.60,-1.95,4.40,13,1,2,2
26695,-0.62,-2.85,-3.15,360.00,12,0,3,2
26795,-6.53,-4.95,-0.60,360.00,12,0,3,2
26895,-5.47,-4.05,-2.70,4.76,12,1,2,2
26995,-3.44,-4.05,-3.00,4.76,12,1,3,2
27095,-15.73,-4.35,-1.95,4.76,12,1,2,2
27195,-25.00,-3.60,-1.50,5.19,11,1,3,2
27295,-42.70,-2.40,-1.80,6.34,9,1,3,2
27395,-62.03,-1.65,-1.05,9.46,6,1,3,2
27495,-60.90,-0.60,0.60,36.87,4,3,3,2
27595,-63.63,1.05,1.05,66.80,3,7,3,2
27695,-63.88,2.85,1.35,78.69,2,10,3,2
27795,-61.05,1.05,3.60,80.54,2,12,3,2
27895,-60.83,3.00,4.80,81.87,2,14,2,2
27995,-60.05,4.35,7.35,82.41,2,15,2,1
28095,-60.11,4.20,8.40,82.87,2,16,2,2
28195,-62.97,3.15,9.00,83.29,2,17,2,1
28295,-60.37,4.95,10.50,82.87,2,16,2,1
28395,-63.59,5.10,11.10,82.41,2,15,2,1
28495,-61.27,4.20,14.25,82.41,2,15,2,2
28595,-63.01,4.20,15.30,81.25,2,13,2,1
28695,-61.93,3.30,16.20,79.70,2,11,2,2
28795,-60.66,3.15,17.10,78.69,2,10,2,2
28895,-62.66,2.85,19.65,77.47,2,9,2,2
28995,-62.71,1.95,21.30,74.05,2,7,4,2
29095,-61.50,1.95,21.30,63.43,2,4,7,2
