mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count),w_RW_cmd(RPM),w_RW_meas(RPM)
1,-0.23,-19.05,-8.85,0.00,0,0,0,0,0.00,0.00
54,0.85,-17.55,-8.10,0.00,0,0,0,0,0.00,0.00
104,2.44,-18.45,-7.65,0.00,0,0,0,0,0.00,0.00
154,1.46,-18.30,-8.85,0.00,0,0,0,0,0.00,0.00
204,0.62,-18.60,-7.80,0.00,0,0,0,0,0.00,0.00
254,0.86,-18.60,-7.80,0.00,0,0,0,0,0.00,0.00
304,0.78,-19.05,-7.80,0.00,0,0,0,0,0.00,0.00
354,-2.54,-17.85,-8.55,0.00,0,0,0,0,0.00,0.00
404,-2.66,-17.70,-7.95,0.00,0,0,0,0,0.00,0.00
454,0.40,-18.60,-7.80,0.00,0,0,0,0,0.00,0.00
504,4.23,-17.40,-6.90,0.00,0,0,0,0,0.00,0.00
554,-2.71,-19.05,-8.10,0.00,0,0,0,0,0.00,0.00
604,1.05,-18.75,-8.70,0.00,0,0,0,0,0.00,0.00
654,-1.98,-19.65,-7.80,0.00,0,0,0,0,0.00,0.00
704,0.76,-18.15,-7.65,0.00,0,0,0,0,0.00,0.00
754,-0.51,-18.15,-7.95,0.00,0,0,0,0,0.00,0.00
804,0.68,-17.10,-8.40,0.00,0,0,0,0,0.00,0.00
854,0.78,-19.65,-8.85,0.00,0,0,0,0,0.00,0.00
904,-2.17,-18.15,-9.45,0.00,0,0,0,0,0.00,0.00
954,2.13,-18.30,-8.10,0.00,0,0,0,0,0.00,0.00
1004,-1.76,-18.15,-8.40,0.00,0,0,0,0,0.00,0.00
1054,-1.92,-17.10,-7.95,0.00,0,0,0,0,0.00,0.00
1104,2.46,-18.15,-8.70,0.00,0,0,0,0,0.00,0.00
1154,-0.35,-19.20,-7.95,0.00,0,0,0,0,0.00,0.00
1204,3.84,-19.50,-7.95,0.00,0,0,0,0,0.00,0.00
1254,0.97,-18.15,-7.95,0.00,0,0,0,0,0.00,0.00
1304,-0.89,-19.65,-9.60,0.00,0,0,0,0,0.00,0.00
1354,-1.56,-17.55,-7.80,0.00,0,0,0,0,0.00,0.00
