mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count),w_RW_cmd(RPM),w_RW_meas(RPM)
1,1.48,-22.80,-15.30,0.00,0,0,0,0,-346.67,0.00
53,-7.11,-23.25,-15.15,0.00,0,0,0,0,-346.67,-30.00
103,-10.67,-21.60,-15.30,0.00,0,0,0,0,-346.67,-60.00
153,-10.07,-22.05,-14.85,0.00,0,0,0,0,-346.67,-90.00
203,-7.24,-22.20,-15.45,0.00,0,0,0,0,-346.67,-120.00
253,-3.02,-22.20,-13.65,0.00,0,0,0,0,-346.67,-138.00
303,0.60,-22.95,-15.60,0.00,0,0,0,0,-346.67,-162.00
353,-3.67,-23.55,-14.40,0.00,0,0,0,0,-346.67,-180.00
403,-3.14,-22.80,-14.55,0.00,0,0,0,0,-346.67,-198.00
453,-3.91,-22.95,-14.40,0.00,0,0,0,0,-346.67,-210.00
503,-5.69,-22.20,-14.70,0.00,0,0,0,0,-346.67,-222.00
553,1.75,-24.15,-15.60,0.00,0,0,0,0,-346.67,-234.00
603,4.12,-23.40,-15.30,0.00,0,0,0,0,-346.67,-246.00
653,3.18,-22.95,-14.70,0.00,0,0,0,0,-346.67,-252.00
703,6.02,-24.00,-16.50,0.00,0,0,0,0,-346.67,-258.00
753,1.97,-23.55,-15.45,0.00,0,0,0,0,-346.67,-270.00
803,6.27,-22.80,-14.25,0.00,0,0,0,0,-346.67,-276.00
853,0.79,-23.25,-14.70,0.00,0,0,0,0,-346.67,-282.00
903,2.79,-22.20,-15.45,0.00,0,0,0,0,-346.67,-288.00
953,3.19,-24.00,-15.45,0.00,0,0,0,0,-346.67,-288.00
1003,2.63,-24.45,-14.85,0.00,0,0,0,0,-346.67,-294.00
1053,-2.06,-23.85,-14.55,0.00,0,0,0,0,-346.67,-294.00
1103,0.40,-22.50,-15.45,0.00,0,0,0,0,-346.67,-300.00
1153,-2.69,-21.45,-15.45,0.00,0,0,0,0,-346.67,-300.00
1203,3.13,-22.50,-16.20,0.00,0,0,0,0,-346.67,-306.00
1253,3.12,-23.55,-14.70,0.00,0,0,0,0,-346.67,-306.00
1303,2.26,-23.85,-14.55,0.00,0,0,0,0,-346.67,-306.00
1353,2.63,-23.40,-14.55,0.00,0,0,0,0,-346.67,-312.00
1403,2.66,-23.10,-15.30,0.00,0,0,0,0,-346.67,-312.00
1453,3.14,-23.40,-14.55,0.00,0,0,0,0,-346.67,-312.00
1503,0.66,-24.15,-14.25,0.00,0,0,0,0,-346.67,-312.00
1553,0.01,-23.25,-15.45,0.00,0,0,0,0,-346.67,-312.00
1603,1.90,-21.90,-14.70,0.00,0,0,0,0,-346.67,-318.00
1653,-1.39,-23.10,-13.80,0.00,0,0,0,0,-346.67,-318.00
1703,-1.69,-23.55,-14.70,0.00,0,0,0,0,-346.67,-318.00
1753,-1.31,-23.25,-14.40,0.00,0,0,0,0,-346.67,-318.00
1803,1.05,-24.15,-15.30,0.00,0,0,0,0,-346.67,-318.00
1853,4.53,-24.45,-14.55,0.00,0,0,0,0,-346.67,-318.00
1903,2.05,-23.55,-15.90,0.00,0,0,0,0,-346.67,-318.00
1953,2.27,-23.85,-16.35,0.00,0,0,0,0,-346.67,-312.00
2003,-1.39,-23.40,-14.85,0.00,0,0,0,0,-346.67,-324.00
2053,2.21,-24.00,-15.60,0.00,0,0,0,0,-346.67,-318.00
2103,1.74,-22.50,-13.65,0.00,0,0,0,0,-346.67,-318.00
2153,1.10,-22.50,-14.40,0.00,0,0,0,0,-346.67,-318.00
2203,4.52,-22.20,-14.70,0.00,0,0,0,0,-346.67,-324.00
2253,2.40,-22.50,-13.95,0.00,0,0,0,0,-346.67,-324.00
2303,5.35,-23.25,-14.40,0.00,0,0,0,0,-346.67,-324.00
2353,4.47,-23.55,-13.20,0.00,0,0,0,0,-346.67,-324.00
2403,1.60,-24.15,-14.25,0.00,0,0,0,0,-346.67,-324.00
2453,0.53,-22.80,-14.55,0.00,0,0,0,0,-346.67,-324.00
2503,0.36,-23.25,-14.70,0.00,0,0,0,0,-346.67,-318.00
2553,-0.07,-22.35,-14.25,0.00,0,0,0,0,-346.67,-324.00
2603,0.21,-23.55,-15.15,0.00,0,0,0,0,-346.67,-318.00
2653,-1.55,-24.00,-14.70,0.00,0,0,0,0,-346.67,-318.00
2703,-3.31,-24.45,-14.25,0.00,0,0,0,0,-346.67,-318.00
2753,-7.53,-23.25,-14.70,0.00,0,0,0,0,-346.67,-324.00
2803,-3.53,-22.20,-14.40,0.00,0,0,0,0,-346.67,-324.00
2853,-1.44,-22.80,-15.30,0.00,0,0,0,0,-346.67,-324.00
2903,-0.89,-23.25,-13.95,0.00,0,0,0,0,-346.67,-324.00
2953,-1.54,-23.85,-14.85,0.00,0,0,0,0,-346.67,-324.00
3003,-3.68,-23.25,-15.90,0.00,0,0,0,0,-346.67,-324.00
3053,-3.21,-23.10,-15.60,0.00,0,0,0,0,-346.67,-324.00
3103,-7.37,-23.25,-15.90,0.00,0,0,0,0,-346.67,-324.00
3153,-6.77,-22.80,-14.55,0.00,0,0,0,0,-346.67,-318.00
3203,-10.95,-22.95,-15.15,0.00,0,0,0,0,-346.67,-324.00
3253,-3.72,-23.85,-16.35,0.00,0,0,0,0,-346.67,-318.00
3303,-3.92,-24.00,-15.45,0.00,0,0,0,0,-346.67,-324.00
3353,-0.76,-22.80,-15.30,0.00,0,0,0,0,-346.67,-318.00
3403,1.80,-22.20,-15.45,0.00,0,0,0,0,-346.67,-324.00
3453,2.89,-21.90,-15.90,0.00,0,0,0,0,-346.67,-324.00
3503,0.71,-22.95,-15.90,0.00,0,0,0,0,-346.67,-318.00
3553,6.02,-22.80,-15.30,0.00,0,0,0,0,-346.67,-324.00
3603,9.64,-21.90,-14.70,0.00,0,0,0,0,-346.67,-324.00
3653,8.92,-22.50,-15.15,0.00,0,0,0,0,-346.67,-324.00
3703,14.92,-21.60,-16.35,0.00,0,0,0,0,-346.67,-324.00
3753,17.81,-22.95,-15.90,0.00,0,0,0,0,-346.67,-324.00
3803,12.38,-23.25,-15.45,0.00,0,0,0,0,-346.67,-318.00
3853,7.37,-22.50,-15.45,0.00,0,0,0,0,-346.67,-324.00
3903,6.76,-22.80,-16.80,0.00,0,0,0,0,-346.67,-324.00
3953,-0.28,-22.05,-14.85,0.00,0,0,0,0,-346.67,-324.00
4003,-5.23,-22.05,-14.25,0.00,0,0,0,0,-346.67,-324.00
4053,-3.05,-24.30,-15.45,0.00,0,0,0,0,-346.67,-324.00
4103,-1.91,-23.10,-14.25,0.00,0,0,0,0,-346.67,-324.00
4153,-2.09,-23.85,-15.60,0.00,0,0,0,0,-346.67,-324.00
4203,-3.60,-23.40,-14.85,0.00,0,0,0,0,-346.67,-324.00
4253,-1.09,-22.20,-15.90,0.00,0,0,0,0,-346.67,-324.00
4303,1.91,-23.10,-14.25,0.00,0,0,0,0,-346.67,-324.00
4353,-1.76,-24.00,-15.15,0.00,0,0,0,0,-346.67,-324.00
4403,-4.12,-22.95,-15.45,0.00,0,0,0,0,-346.67,-324.00
4453,-1.49,-23.85,-16.80,0.00,0,0,0,0,-346.67,-324.00
4503,-2.05,-22.95,-16.20,0.00,0,0,0,0,-346.67,-324.00
4553,-2.92,-23.10,-15.30,0.00,0,0,0,0,-346.67,-324.00
4603,-0.84,-22.95,-16.50,0.00,0,0,0,0,-346.67,-324.00
4653,2.17,-23.55,-13.95,0.00,0,0,0,0,-346.67,-324.00
4703,1.69,-22.95,-16.20,0.00,0,0,0,0,-346.67,-324.00
4753,2.41,-22.20,-14.40,0.00,0,0,0,0,-346.67,-324.00
4803,-2.27,-23.25,-13.20,0.00,0,0,0,0,-346.67,-324.00
4853,1.29,-23.10,-15.30,0.00,0,0,0,0,-346.67,-324.00
4903,-2.34,-22.95,-16.50,0.00,0,0,0,0,-346.67,-318.00
4953,0.82,-24.00,-15.45,0.00,0,0,0,0,-346.67,-324.00
5003,0.10,-23.55,-15.15,0.00,0,0,0,0,-346.67,-324.00
5053,-1.58,-22.80,-15.30,0.00,0,0,0,0,-346.67,-318.00
5103,1.58,-23.25,-16.20,0.00,0,0,0,0,-346.67,-318.00
5153,-0.57,-23.55,-14.70,0.00,0,0,0,0,-346.67,-324.00
5203,3.49,-23.85,-16.35,0.00,0,0,0,0,-346.67,-324.00
5253,2.46,-23.25,-15.45,0.00,0,0,0,0,-346.67,-324.00
5303,-0.13,-22.20,-15.90,0.00,0,0,0,0,-346.67,-324.00
5353,-2.53,-22.80,-14.85,0.00,0,0,0,0,-346.67,-324.00
5403,1.02,-22.95,-14.40,0.00,0,0,0,0,-346.67,-324.00
5453,-1.84,-24.00,-16.20,0.00,0,0,0,0,-346.67,-324.00
5503,2.24,-22.50,-15.15,0.00,0,0,0,0,-346.67,-324.00
5553,-1.07,-23.25,-15.45,0.00,0,0,0,0,-346.67,-324.00
5603,3.27,-22.50,-14.70,0.00,0,0,0,0,-346.67,-318.00
5653,-0.18,-23.85,-15.30,0.00,0,0,0,0,-346.67,-318.00
5703,4.24,-22.35,-15.60,0.00,0,0,0,0,-346.67,-324.00
5753,-1.91,-22.35,-14.85,0.00,0,0,0,0,-346.67,-324.00
5803,0.72,-22.20,-16.50,0.00,0,0,0,0,-346.67,-324.00
