mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count),w_RW_cmd(RPM),w_RW_meas(RPM)
1,0.80,-16.65,-6.15,0.00,0,0,0,0,0.00,0.00
52,-2.15,-17.55,-5.25,0.00,0,0,0,0,0.00,0.00
102,3.02,-16.65,-6.15,0.00,0,0,0,0,0.00,0.00
152,0.48,-15.90,-6.15,0.00,0,0,0,0,0.00,0.00
202,-1.08,-16.80,-7.05,0.00,0,0,0,0,0.00,0.00
252,-2.94,-17.85,-7.05,0.00,0,0,0,0,0.00,0.00
302,0.67,-18.60,-6.30,0.00,0,0,0,0,0.00,0.00
352,-1.10,-16.80,-6.30,0.00,0,0,0,0,0.00,0.00
402,0.31,-17.10,-7.20,0.00,0,0,0,0,0.00,0.00
452,-1.92,-17.55,-6.75,0.00,0,0,0,0,0.00,0.00
502,-0.76,-16.80,-5.55,0.00,0,0,0,0,0.00,0.00
552,3.27,-17.40,-4.65,0.00,0,0,0,0,0.00,0.00
602,0.40,-16.80,-5.55,0.00,0,0,0,0,0.00,0.00
652,1.57,-16.35,-5.85,0.00,0,0,0,0,0.00,0.00
702,-2.36,-16.50,-6.30,0.00,0,0,0,0,0.00,0.00
752,0.50,-16.35,-6.90,0.00,0,0,0,0,0.00,0.00
802,0.18,-16.80,-6.75,0.00,0,0,0,0,0.00,0.00
852,0.96,-17.25,-6.30,0.00,0,0,0,0,0.00,0.00
902,-0.91,-17.10,-6.45,0.00,0,0,0,0,0.00,0.00
952,0.05,-16.35,-4.65,0.00,0,0,0,0,0.00,0.00
1002,-0.16,-16.20,-5.55,0.00,0,0,0,0,0.00,0.00
1052,0.51,-16.20,-6.75,0.00,0,0,0,0,0.00,0.00
1102,4.05,-17.40,-6.15,0.00,0,0,0,0,0.00,0.00
1152,-0.69,-16.35,-6.90,0.00,0,0,0,0,0.00,0.00
1202,-1.79,-16.65,-7.20,0.00,0,0,0,0,0.00,0.00
1252,0.76,-15.00,-7.05,0.00,0,0,0,0,0.00,0.00
1302,-3.57,-15.45,-5.55,0.00,0,0,0,0,0.00,0.00
1352,0.13,-17.10,-6.15,0.00,0,0,0,0,0.00,0.00
1402,1.62,-16.50,-6.00,0.00,0,0,0,0,0.00,0.00
1452,-0.61,-17.40,-6.15,0.00,0,0,0,0,0.00,0.00
1502,-0.56,-16.35,-4.65,0.00,0,0,0,0,0.00,0.00
1552,2.21,-17.25,-5.55,0.00,0,0,0,0,0.00,0.00
1602,-1.85,-15.90,-6.15,0.00,0,0,0,0,0.00,0.00
1652,2.21,-16.50,-5.55,0.00,0,0,0,0,0.00,0.00
1702,2.11,-16.65,-5.10,0.00,0,0,0,0,0.00,0.00
1752,0.10,-15.90,-6.15,0.00,0,0,0,0,0.00,0.00
1802,-1.02,-15.75,-6.75,0.00,0,0,0,0,0.00,0.00
1852,1.69,-17.55,-6.30,0.00,0,0,0,0,0.00,0.00
1902,-0.12,-15.90,-5.10,0.00,0,0,0,0,0.00,0.00
1952,0.61,-16.50,-6.00,0.00,0,0,0,0,0.00,0.00
2002,0.43,-16.65,-5.85,0.00,0,0,0,0,0.00,0.00
2052,-0.05,-15.75,-5.25,0.00,0,0,0,0,0.00,0.00
2102,2.44,-17.70,-7.65,0.00,0,0,0,0,0.00,0.00
2152,0.39,-17.25,-6.30,0.00,0,0,0,0,0.00,0.00
2202,1.72,-15.75,-5.25,0.00,0,0,0,0,0.00,0.00
2252,0.65,-17.25,-7.05,0.00,0,0,0,0,0.00,0.00
2302,-0.23,-15.75,-6.00,0.00,0,0,0,0,0.00,0.00
2352,1.58,-17.55,-6.30,0.00,0,0,0,0,0.00,0.00
2402,-0.15,-16.80,-7.05,0.00,0,0,0,0,0.00,0.00
2452,-1.66,-17.40,-6.15,0.00,0,0,0,0,0.00,0.00
2502,0.75,-16.35,-7.20,0.00,0,0,0,0,0.00,0.00
2552,1.01,-16.35,-6.90,0.00,0,0,0,0,0.00,0.00
2602,1.07,-15.60,-5.85,0.00,0,0,0,0,0.00,0.00
2652,2.42,-15.60,-6.15,0.00,0,0,0,0,0.00,0.00
2702,1.19,-17.85,-6.30,0.00,0,0,0,0,0.00,0.00
2752,1.27,-16.65,-5.40,0.00,0,0,0,0,0.00,0.00
2802,3.21,-16.50,-6.30,0.00,0,0,0,0,0.00,0.00
2852,2.29,-15.45,-7.05,0.00,0,0,0,0,0.00,0.00
2902,0.91,-15.60,-5.40,0.00,0,0,0,0,0.00,0.00
2952,1.85,-16.20,-6.00,0.00,0,0,0,0,0.00,0.00
3002,-0.45,-17.25,-6.00,0.00,0,0,0,0,0.00,0.00
3052,2.65,-18.15,-4.65,0.00,0,0,0,0,-416.67,-30.00
3102,-0.14,-16.80,-5.55,0.00,0,0,0,0,-416.67,-72.00
3152,-1.24,-16.80,-5.25,0.00,0,0,0,0,-416.67,-108.00
3202,0.52,-15.75,-7.05,0.00,0,0,0,0,-416.67,-144.00
3252,1.23,-16.65,-6.15,0.00,0,0,0,0,-416.67,-174.00
3302,-0.42,-16.20,-6.00,0.00,0,0,0,0,-416.67,-198.00
3352,1.67,-17.85,-4.80,0.00,0,0,0,0,-416.67,-228.00
3402,1.85,-15.00,-5.25,0.00,0,0,0,0,-416.67,-246.00
3452,-0.03,-17.70,-5.85,0.00,0,0,0,0,-416.67,-264.00
3502,1.05,-15.90,-6.15,0.00,0,0,0,0,-416.67,-282.00
3552,0.29,-16.20,-7.35,0.00,0,0,0,0,-416.67,-300.00
3602,0.28,-17.10,-6.15,0.00,0,0,0,0,-416.67,-306.00
3652,0.76,-17.10,-6.45,0.00,0,0,0,0,-416.67,-324.00
3702,1.79,-17.25,-6.00,0.00,0,0,0,0,-416.67,-330.00
3752,1.60,-16.50,-7.05,0.00,0,0,0,0,-416.67,-336.00
3802,1.29,-16.35,-6.15,0.00,0,0,0,0,-416.67,-342.00
3852,3.41,-15.90,-6.45,0.00,0,0,0,0,-416.67,-354.00
3902,1.61,-17.70,-6.45,0.00,0,0,0,0,-416.67,-360.00
3952,2.54,-17.70,-5.10,0.00,0,0,0,0,-416.67,-366.00
4002,-3.05,-17.10,-6.15,0.00,0,0,0,0,-416.67,-366.00
4052,2.50,-17.40,-5.85,0.00,0,0,0,0,-416.67,-372.00
4102,-0.19,-16.80,-6.30,0.00,0,0,0,0,-416.67,-378.00
