mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count),w_RW_cmd(RPM),w_RW_meas(RPM)
1,-3.07,-21.90,-4.80,0.00,0,0,0,0,-250.00,0.00
51,-8.76,-21.90,-4.50,0.00,0,0,0,0,-250.00,0.00
101,-11.18,-21.00,-5.40,0.00,0,0,0,0,-250.00,0.00
151,-7.25,-21.60,-4.65,0.00,0,0,0,0,-250.00,0.00
201,-1.92,-23.55,-3.75,0.00,0,0,0,0,-250.00,0.00
251,3.47,-22.50,-4.20,0.00,0,0,0,0,-250.00,0.00
301,-1.08,-22.50,-4.80,0.00,0,0,0,0,-250.00,0.00
351,-0.42,-22.20,-6.00,0.00,0,0,0,0,-250.00,0.00
401,-3.08,-22.05,-3.90,0.00,0,0,0,0,-250.00,0.00
451,0.97,-22.80,-4.65,0.00,0,0,0,0,-250.00,0.00
501,-1.79,-21.30,-5.40,0.00,0,0,0,0,-250.00,0.00
551,2.50,-21.45,-3.75,0.00,0,0,0,0,-250.00,0.00
601,-1.88,-21.15,-4.20,0.00,0,0,0,0,-250.00,0.00
653,2.11,-22.80,-3.60,0.00,0,0,0,0,-250.00,-186.00
703,1.19,-22.20,-4.50,0.00,0,0,0,0,-250.00,-198.00
753,-0.47,-21.15,-4.80,0.00,0,0,0,0,-250.00,-204.00
803,0.89,-23.25,-5.25,0.00,0,0,0,0,-250.00,-210.00
853,-0.66,-22.05,-5.40,0.00,0,0,0,0,-250.00,-210.00
903,1.00,-21.45,-4.50,0.00,0,0,0,0,-250.00,-216.00
953,1.01,-21.45,-4.50,0.00,0,0,0,0,-250.00,-222.00
1003,-0.49,-21.90,-5.55,0.00,0,0,0,0,-250.00,-222.00
1053,0.19,-22.20,-4.50,0.00,0,0,0,0,-250.00,-222.00
1103,-0.77,-21.90,-4.50,0.00,0,0,0,0,-250.00,-228.00
1153,-1.02,-22.35,-5.40,0.00,0,0,0,0,-250.00,-228.00
1203,0.71,-22.50,-4.80,0.00,0,0,0,0,-250.00,-228.00
1253,-0.16,-22.05,-5.10,0.00,0,0,0,0,-250.00,-228.00
1303,-0.46,-22.35,-5.10,0.00,0,0,0,0,-250.00,-228.00
1353,-1.72,-24.00,-5.25,0.00,0,0,0,0,-250.00,-234.00
1403,0.90,-23.55,-5.25,0.00,0,0,0,0,-250.00,-228.00
1453,-1.07,-22.95,-3.45,0.00,0,0,0,0,-250.00,-228.00
1503,1.66,-22.50,-4.20,0.00,0,0,0,0,-250.00,-234.00
1553,1.13,-22.35,-4.65,0.00,0,0,0,0,-250.00,-234.00
1603,4.05,-24.30,-4.50,0.00,0,0,0,0,-250.00,-234.00
1653,1.68,-22.95,-4.20,0.00,0,0,0,0,-250.00,-234.00
