mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count)
30914,-0.83,-11.55,3.75,357.61,74,1,2,4
31014,0.14,-11.70,3.15,357.61,74,1,2,4
31119,-1.21,-12.45,3.60,357.65,75,1,2,4
31232,-0.58,-10.80,4.50,357.68,76,1,2,4
31346,0.06,-11.10,3.45,357.74,77,1,1,4
31458,0.33,-11.55,2.70,357.77,78,1,1,4
31571,0.11,-12.15,3.75,357.80,79,1,1,4
31683,-2.40,-11.55,4.80,357.83,80,1,1,4
31797,1.47,-10.50,4.50,357.80,80,1,2,4
31909,2.14,-12.45,3.90,357.83,81,1,2,4
32022,-0.66,-11.55,4.20,357.93,85,1,2,4
32135,0.11,-12.45,3.15,358.03,89,1,2,4
32248,0.94,-11.10,3.45,358.05,90,1,2,4
32360,-2.24,-12.00,2.10,358.03,89,1,2,4
32474,-0.74,-11.10,3.75,358.09,92,1,2,4
32587,0.82,-11.70,2.85,358.11,93,1,2,4
32700,-0.47,-10.95,2.85,358.13,94,1,2,4
32813,-0.79,-11.40,3.90,358.79,97,1,2,3
32927,0.18,-12.75,3.60,358.81,98,1,2,3
33039,1.10,-11.10,4.20,358.19,98,1,3,4
33152,-0.22,-11.55,3.75,358.19,98,1,3,4
33265,-1.49,-11.55,4.50,358.21,99,1,3,4
33379,-2.13,-11.55,3.00,358.25,101,1,3,4
33494,-2.05,-11.70,4.35,358.26,102,1,3,4
33608,0.99,-11.10,3.00,358.25,101,1,3,4
33722,1.82,-11.85,3.00,358.26,102,1,3,4
33835,-1.03,-13.05,3.60,358.26,102,1,3,4
33950,0.47,-12.45,2.85,358.26,102,1,3,4
34063,-2.53,-12.00,2.55,358.26,102,1,3,4
34178,-0.68,-11.85,3.00,358.25,101,1,3,4
34293,0.15,-10.95,2.55,358.25,101,1,3,4
34407,-1.05,-11.40,4.35,358.21,99,1,3,4
34520,-2.68,-10.65,3.15,358.25,101,1,3,4
34635,-1.04,-12.45,4.65,358.30,104,1,3,4
34750,0.29,-13.05,2.55,358.87,104,1,3,3
34863,-0.13,-11.85,4.20,358.87,104,1,3,3
34978,-0.12,-11.40,3.60,358.30,104,1,3,4
35092,1.24,-11.70,3.60,358.85,103,1,3,3
35206,-0.01,-13.05,1.35,358.87,104,1,3,3
35320,0.18,-12.90,3.75,358.85,103,1,3,3
35434,0.60,-13.50,3.90,358.28,103,1,3,4
35547,-1.18,-12.45,3.90,358.28,103,1,3,4
35662,-5.99,-12.45,2.10,358.30,104,1,3,4
35777,-5.28,-12.75,2.55,358.88,105,1,3,3
35891,-2.26,-13.05,3.15,358.91,108,1,3,3
36006,-1.47,-13.80,3.90,358.93,110,1,3,3
