mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count)
56537,-2.07,-4.80,31.05,9.95,300,141,72,101
56637,-0.27,-4.95,32.40,10.04,298,141,72,101
56752,0.01,-5.55,31.80,10.91,294,142,71,99
56869,-3.43,-4.95,31.65,11.11,291,142,72,99
56987,0.19,-6.45,32.40,10.78,282,141,72,101
57104,-1.00,-6.00,30.90,11.26,274,142,73,102
57223,3.86,-5.55,32.10,12.19,272,145,73,102
57341,-1.42,-5.10,31.05,12.53,271,144,73,100
57460,-0.47,-5.25,31.65,12.44,266,142,71,99
57577,-2.89,-5.70,31.95,11.59,266,140,71,100
57696,0.51,-5.70,31.65,11.53,269,142,73,102
57814,-5.69,-6.90,31.05,12.05,265,144,73,103
57933,-1.40,-6.45,31.20,12.91,265,144,73,100
58051,-2.05,-5.85,30.60,12.62,263,142,71,99
58169,-4.24,-6.90,32.10,11.93,265,141,71,100
58288,-7.11,-6.60,31.80,11.37,267,142,73,103
58407,-1.85,-6.60,30.60,13.42,271,147,74,100
58525,-0.31,-6.00,31.20,13.16,273,145,72,98
58643,7.95,-6.00,32.70,12.02,273,142,71,99
58760,17.81,-5.85,31.05,11.42,275,141,72,100
58878,36.68,-4.95,31.20,11.31,279,143,74,102
58997,55.31,-4.65,30.90,11.03,272,144,77,106
59116,63.26,-3.00,31.80,11.68,231,134,81,103
59235,65.27,-0.60,30.15,8.65,178,123,86,109
59352,61.51,1.95,29.25,8.13,122,118,94,114
59469,64.58,1.65,27.90,112.17,91,144,102,117
59588,61.60,3.75,24.75,100.47,92,208,109,116
59707,60.02,3.75,24.00,95.78,97,277,114,109
59824,62.17,6.00,21.60,96.87,99,324,126,100
59942,63.92,4.95,20.40,100.28,100,342,145,94
60061,60.11,6.60,19.05,106.54,100,318,168,89
60179,62.34,6.45,18.15,115.43,104,267,191,84
60298,59.29,5.10,15.75,124.37,108,215,201,79
