mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count)
85060,-2.50,-6.45,31.65,15.51,229,145,74,102
85160,-3.37,-6.75,32.40,15.32,231,144,74,101
85276,-0.91,-6.15,30.60,14.46,233,143,74,102
85395,-7.69,-7.65,30.60,13.79,235,141,72,101
85514,-1.63,-6.45,31.95,13.54,235,142,73,103
85633,-1.98,-6.60,31.05,14.29,235,144,74,103
85751,1.98,-7.80,32.70,13.79,239,142,72,101
85869,-2.13,-6.45,30.90,13.39,240,141,72,101
85988,-3.50,-7.05,31.95,12.28,242,140,72,103
86107,-4.61,-7.65,31.35,12.36,252,143,74,104
86225,-2.50,-7.50,32.40,12.28,266,144,73,102
86344,-0.69,-8.85,32.40,10.93,274,140,72,101
86463,-0.14,-8.10,32.40,10.65,275,141,73,103
86582,-7.72,-7.80,32.40,11.36,278,145,74,104
86700,-3.48,-8.40,30.30,12.13,274,144,74,101
86819,-1.98,-8.70,32.55,11.42,270,140,72,100
86938,1.29,-8.10,31.20,10.12,270,138,74,103
87056,-3.82,-8.55,31.20,10.74,270,140,75,103
87174,-2.23,-9.45,32.10,11.37,274,141,75,101
87293,1.27,-7.35,30.60,11.53,270,138,74,98
87410,-1.78,-8.85,31.95,11.48,272,138,75,98
87527,-2.27,-8.40,31.35,11.14,268,136,75,98
87645,-1.90,-9.00,29.85,10.62,267,135,75,99
87763,0.82,-9.45,31.80,10.62,268,137,76,101
87881,3.80,-7.50,31.20,11.48,269,140,77,101
87998,35.04,-6.75,32.70,12.99,271,146,76,101
88117,130.44,-6.00,31.95,13.51,252,147,73,104
88237,250.14,-1.05,28.65,69.15,101,139,93,118
88357,250.14,5.55,23.25,101.39,102,379,159,96
88476,250.14,6.45,11.10,183.43,119,83,219,89
88595,250.14,0.00,2.55,195.70,95,90,248,133
88713,250.14,-9.60,0.60,235.86,74,116,133,203
88833,250.14,-21.30,5.70,279.38,105,91,86,206
88952,250.14,-23.70,20.25,277.45,119,84,105,191
89074,250.14,-17.25,29.85,27.86,163,124,93,87
89194,250.14,-4.05,31.80,10.80,231,138,79,109
89314,250.14,3.45,23.85,98.57,97,307,127,108
89433,250.14,5.55,15.00,167.16,115,98,194,80
89551,250.14,-1.05,4.05,192.80,111,86,177,101
89671,250.14,-11.10,1.80,229.40,76,115,124,171
89792,250.14,-19.05,7.50,295.28,94,109,77,145
89912,250.14,-23.10,18.30,265.00,99,71,106,151
90033,250.14,-17.55,27.90,108.97,96,115,107,83
90153,250.14,-6.60,30.30,11.00,183,125,75,104
90273,250.14,1.35,27.45,121.76,87,138,100,117
90393,250.14,6.45,17.10,112.50,103,228,161,88
90513,250.14,4.35,10.20,185.78,119,84,198,92
90632,250.14,-1.95,2.70,196.79,99,95,215,130
90750,250.14,-10.80,1.95,234.61,75,115,129,191
90871,250.14,-19.50,5.40,279.55,102,96,85,197
90991,250.14,-23.10,15.00,278.13,125,80,105,220
91113,250.14,-19.35,26.70,71.57,110,123,105,108
91235,250.14,-8.85,32.70,9.63,349,152,72,105
91353,250.14,1.95,28.50,106.97,93,180,111,121
91473,250.14,6.45,17.85,116.44,106,272,200,83
91593,250.14,3.90,7.80,188.70,117,85,202,98
91711,250.14,-1.50,3.15,208.65,91,98,188,151
91830,250.14,-14.70,2.10,243.95,77,118,99,163
91949,250.14,-20.70,11.10,280.30,101,93,89,159
92070,250.14,-20.70,22.35,258.06,97,81,108,133
92191,250.14,-14.85,29.85,60.26,115,114,99,86
92311,250.14,-4.20,28.95,9.04,161,123,73,109
92430,250.14,3.90,24.90,117.26,88,149,105,116
92549,250.14,5.25,16.35,120.26,106,182,162,86
92669,250.14,3.00,8.25,192.53,118,81,172,93
92787,250.14,-2.55,2.70,196.11,104,93,194,119
92907,250.14,-9.90,0.60,236.31,75,115,117,178
93026,250.14,-18.45,5.40,285.95,94,107,76,170
93146,250.14,-22.50,14.40,274.19,114,72,103,222
93268,229.63,-21.30,22.80,270.00,109,106,109,161
93391,102.38,-18.15,26.70,125.54,100,121,105,114
93514,82.50,-16.20,30.30,35.27,135,118,94,89
93633,102.99,-12.45,32.40,22.29,184,137,84,96
93752,60.49,-10.80,32.10,17.67,212,145,77,102
93872,38.43,-8.40,31.35,18.32,217,149,72,101
93991,43.65,-6.00,32.70,19.27,214,156,71,106
94110,0.06,-5.10,31.80,16.32,213,151,73,110
94227,-0.01,-5.85,32.10,17.35,217,155,73,110
94346,6.94,-5.10,31.35,19.53,214,158,73,108
94464,-3.29,-4.35,31.80,18.08,216,153,72,106
94583,-3.96,-4.80,32.10,16.88,216,150,71,106
94701,-1.18,-5.55,31.35,17.22,215,153,73,109
94820,-2.81,-6.15,29.55,17.83,217,154,74,108
94939,0.03,-6.60,30.60,19.15,217,154,73,104
95057,5.11,-5.10,31.35,18.19,215,152,72,105
95174,-2.19,-5.55,31.80,17.07,212,149,72,106
95293,1.27,-4.65,31.95,18.18,211,153,74,108
95411,-1.29,-6.15,30.30,18.56,211,154,74,108
95530,-7.85,-5.10,30.60,18.81,211,152,73,105
95648,-8.38,-6.90,31.80,17.81,208,148,71,104
95767,-5.32,-6.75,30.15,16.23,207,146,73,107
95886,-1.70,-6.90,31.35,17.67,209,149,74,106
96005,-0.21,-5.25,31.65,16.93,211,145,73,103
96123,6.61,-5.55,31.05,16.39,208,143,72,103
96241,3.49,-6.75,31.95,15.66,204,141,72,104
96359,4.78,-6.00,31.20,15.41,200,140,73,105
96476,3.53,-6.00,30.45,17.27,193,143,74,106
96594,0.47,-5.85,30.60,17.97,185,140,74,104
96712,0.93,-4.80,30.30,20.12,175,141,74,104
96830,2.22,-7.80,31.20,20.56,169,139,73,103
96947,3.87,-6.15,32.10,19.18,164,135,72,103
