mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count)
119081,0.85,-5.70,4.35,359.90,1099,0,1,2
119181,1.69,-5.70,3.90,359.90,1099,0,1,2
119287,2.29,-5.85,3.75,359.90,1099,0,1,2
119400,1.68,-4.80,3.45,359.90,1098,0,1,2
119514,1.89,-4.95,2.85,359.90,1099,0,1,2
119627,1.83,-6.00,3.90,359.90,1099,0,1,2
119741,-0.56,-6.45,2.70,359.90,1099,0,1,2
119855,3.53,-6.45,2.70,359.90,1099,0,1,2
119969,1.92,-6.30,3.15,359.90,1099,0,1,2
120082,1.57,-5.70,2.10,359.90,1098,0,1,2
120196,-2.52,-5.85,1.95,359.90,1099,0,1,2
120311,-6.99,-5.70,4.65,359.90,1099,0,1,2
120425,-23.62,-5.85,1.50,359.84,1099,0,1,3
120541,-30.88,-6.15,1.95,359.84,1099,0,1,3
120656,-31.11,-6.75,3.15,359.90,1099,0,1,2
120772,-19.71,-8.70,2.70,359.84,1098,0,1,3
120888,-11.10,-8.55,3.60,359.84,1099,0,1,3
121003,-9.74,-8.25,2.25,359.84,1099,0,1,3
121118,-16.75,-9.15,3.90,359.84,1099,0,1,3
121234,-23.95,-10.50,3.00,359.84,1099,0,1,3
121350,-20.37,-12.00,2.85,359.84,1099,0,1,3
121467,-12.39,-10.95,3.60,359.84,1099,0,1,3
121584,-6.34,-11.85,3.75,359.84,1099,0,2,3
121699,-6.70,-11.40,2.85,359.84,1099,0,1,3
121815,-6.35,-13.50,2.10,359.84,1099,0,1,3
121930,-6.20,-11.55,2.25,359.84,1099,0,1,3
122046,-3.97,-12.75,2.85,359.84,1099,0,1,3
122162,3.64,-13.95,3.00,359.84,1099,0,1,3
122276,1.77,-12.90,2.70,359.84,1099,0,1,3
122391,-0.05,-11.85,2.70,359.84,1099,0,1,3
122506,-0.76,-11.40,3.90,359.84,1099,0,1,3
122622,15.95,-12.45,2.10,359.84,1099,0,1,3
122738,190.18,-10.65,2.85,359.84,1099,0,1,3
122854,250.14,-4.50,1.80,359.95,1098,2,2,3
122970,250.14,3.15,-4.35,1.04,1099,22,1,2
123085,250.14,5.25,-10.95,0.78,1099,16,2,1
123200,250.14,4.50,-21.90,0.05,1099,2,19,1
123316,250.14,-3.90,-27.00,0.10,1099,3,2,1
123431,250.14,-12.60,-27.15,359.95,1099,3,7,4
123550,250.14,-22.05,-20.70,358.95,1099,1,3,21
123670,250.14,-24.90,-12.75,359.27,1099,1,3,15
123790,250.14,-22.05,-1.80,359.90,1099,1,2,3
123907,250.14,-12.00,3.60,359.84,1099,0,1,3
124024,250.14,-3.00,2.70,359.95,1099,1,2,2
124140,250.14,3.90,-6.45,0.84,1098,17,1,1
124254,250.14,2.85,-12.75,0.68,1099,14,1,1
124370,250.14,0.30,-21.90,0.11,1099,3,11,1
124486,250.14,-6.15,-24.30,0.11,1099,3,20,1
124602,250.14,-15.00,-26.10,0.11,1099,3,8,1
124719,250.14,-21.60,-20.40,359.37,1099,1,3,13
124839,250.14,-22.50,-11.40,359.32,1099,1,3,14
124959,250.14,-22.95,-3.75,359.79,1099,1,3,5
125076,250.14,-15.45,1.50,359.90,1099,0,2,2
125193,250.14,-6.90,4.50,359.84,1099,0,1,3
125309,250.14,-0.60,0.30,0.52,1099,13,2,3
125423,250.14,4.50,-4.65,1.20,1098,24,1,1
